,Player,Pos,Tm,Age,Tm,AST,STL,BLK,PTS,FG,FGA
0,Steven Adams,C,OKC,26,OKC,146,51,67,684,283,478
1,Bam Adebayo,PF,MIA,22,MIA,368,82,93,1146,440,790
2,LaMarcus Aldridge,C,SAS,34,SAS,129,36,87,1001,391,793
3,Kyle Alexander,PF,MIA,23,MIA,0,0,0,2,1,2
4,Nickeil Alexander-Walker,SG,NOP,21,NOP,89,17,8,267,98,266
5,Grayson Allen,SG,MEM,24,MEM,52,10,2,330,117,251
6,Jarrett Allen,C,BRK,21,BRK,110,40,92,775,302,465
7,Kadeem Allen,SG,NYK,27,NYK,21,5,2,50,19,44
8,Al-Farouq Aminu,PF,ORL,29,ORL,21,18,8,78,25,86
9,Justin Anderson,SF,BRK,26,BRK,8,0,6,28,10,38
10,Kyle Anderson,PF,MEM,26,MEM,162,54,37,390,157,331
11,Ryan Anderson,C,HOU,31,HOU,2,1,0,5,2,7
12,Giannis Antetokounmpo,PF,MIL,25,MIL,354,61,66,1857,685,1238
13,Kostas Antetokounmpo,PF,LAL,22,LAL,2,0,0,7,3,3
14,Thanasis Antetokounmpo,SF,MIL,27,MIL,15,7,2,55,24,48
15,Carmelo Anthony,PF,POR,35,POR,85,49,27,895,336,782
16,OG Anunoby,SF,TOR,22,TOR,108,96,45,733,286,566
17,Ryan Arcidiacono,PG,CHI,25,CHI,96,27,3,261,90,220
18,Trevor Ariza,SF,TOT,34,TOT,91,69,15,423,142,324
19,Trevor Ariza,SF,SAC,34,SAC,50,35,7,192,64,165
20,Trevor Ariza,SF,POR,34,POR,41,34,8,231,78,159
21,D.J. Augustin,PG,ORL,32,ORL,262,34,1,599,184,461
22,Deandre Ayton,C,PHO,21,PHO,72,26,58,690,310,568
23,Dwayne Bacon,SG,CHO,24,CHO,52,23,2,224,85,244
24,Marvin Bagley III,PF,SAC,20,SAC,10,6,12,185,78,167
25,Lonzo Ball,PG,NOP,22,NOP,438,88,38,745,277,687
26,Mo Bamba,C,ORL,21,ORL,42,23,86,332,132,286
27,J.J. Barea,PG,DAL,35,DAL,112,5,2,222,85,207
28,Harrison Barnes,PF,SAC,27,SAC,159,43,12,1046,365,793
29,RJ Barrett,SG,NYK,19,NYK,143,55,17,803,292,727
30,Will Barton,SF,DEN,29,DEN,212,61,29,874,332,738
31,Keita Bates-Diop,SF,TOT,24,TOT,30,19,24,288,100,234
32,Keita Bates-Diop,SF,MIN,24,MIN,30,17,20,251,87,206
33,Keita Bates-Diop,SF,DEN,24,DEN,0,2,4,37,13,28
34,Nicolas Batum,SF,CHO,31,CHO,66,17,8,79,28,81
35,Aron Baynes,C,PHO,33,PHO,67,10,23,481,183,381
36,Kent Bazemore,SF-SG,TOT,30,TOT,93,74,40,597,200,534
37,Kent Bazemore,SF,POR,30,POR,61,45,31,340,113,326
38,Kent Bazemore,SG,SAC,30,SAC,32,29,9,257,87,208
39,Darius Bazley,PF,OKC,19,OKC,41,23,41,342,125,317
40,Bradley Beal,SG,WAS,26,WAS,347,71,23,1741,593,1303
41,Malik Beasley,SG,TOT,23,TOT,75,40,8,615,227,534
42,Malik Beasley,SG,DEN,23,DEN,48,31,6,325,117,301
43,Malik Beasley,SG,MIN,23,MIN,27,9,2,290,110,233
